,f1_ents,p_ents,r_ents
0,0.7911547911547913,0.7892156862745098,0.7931034482758621
1,0.8008565310492505,0.7991452991452992,0.8025751072961373
2,0.8240740740740742,0.8018018018018018,0.8476190476190476
3,0.8484848484848485,0.8270042194092827,0.8711111111111111
4,0.8341708542713567,0.8258706467661692,0.8426395939086294
5,0.8211920529801324,0.808695652173913,0.8340807174887892
6,0.7768240343347639,0.7669491525423728,0.7869565217391304
7,0.8356997971602433,0.8340080971659919,0.8373983739837398
8,0.8008130081300813,0.8008130081300813,0.8008130081300813
9,0.7926267281105991,0.7782805429864253,0.8075117370892019
10,0.8070175438596493,0.7829787234042553,0.832579185520362
11,0.8704453441295547,0.86,0.8811475409836066
12,0.8088235294117647,0.7819905213270142,0.8375634517766497
13,0.8409090909090909,0.8371040723981901,0.8447488584474886
14,0.828235294117647,0.8262910798122066,0.8301886792452831
15,0.7979797979797981,0.7707317073170732,0.8272251308900523
16,0.8530120481927711,0.8388625592417062,0.8676470588235294
17,0.8326359832635983,0.8189300411522634,0.8468085106382979
18,0.8591549295774648,0.8356164383561644,0.8840579710144928
19,0.8919540229885057,0.8899082568807339,0.8940092165898618
20,0.8187134502923977,0.8108108108108109,0.8267716535433071
21,0.8459770114942529,0.8363636363636363,0.8558139534883721
22,0.8253358925143953,0.8206106870229007,0.8301158301158301
23,0.8677494199535962,0.8423423423423423,0.8947368421052632
24,0.7765151515151515,0.7536764705882353,0.80078125
25,0.8435374149659864,0.8303571428571429,0.8571428571428571
26,0.8336673346693387,0.8286852589641435,0.8387096774193549
27,0.8444444444444443,0.8306010928961749,0.8587570621468926
28,0.7801724137931034,0.7573221757322176,0.8044444444444444
29,0.7883211678832117,0.7714285714285715,0.8059701492537313
30,0.8527131782945736,0.8461538461538461,0.859375
31,0.8479262672811059,0.8401826484018264,0.8558139534883721
32,0.8340807174887893,0.8193832599118943,0.8493150684931506
33,0.7922705314009661,0.7884615384615384,0.7961165048543689
34,0.8271334792122538,0.8289473684210527,0.8253275109170306
35,0.8602620087336244,0.8382978723404255,0.8834080717488789
36,0.8174273858921162,0.788,0.8491379310344828
37,0.837962962962963,0.8227272727272728,0.8537735849056604
38,0.7915690866510539,0.771689497716895,0.8125
39,0.8414634146341463,0.828,0.8553719008264463
40,0.7570093457943925,0.7570093457943925,0.7570093457943925
41,0.8,0.7878787878787878,0.8125
42,0.8326848249027237,0.8294573643410853,0.8359375
43,0.7292110874200426,0.7095435684647303,0.75
44,0.7736263736263737,0.7652173913043478,0.7822222222222223
45,0.8697674418604651,0.8697674418604651,0.8697674418604651
46,0.8315098468271335,0.8260869565217391,0.8370044052863436
47,0.8050314465408804,0.8,0.810126582278481
48,0.7991169977924945,0.7973568281938326,0.8008849557522124
