,iter,f1,p,r
0,100,0.888030888030888,0.8949416342412452,0.8812260536398467
1,100,0.9057377049180328,0.9094650205761317,0.9020408163265307
2,100,0.8565121412803532,0.8699551569506726,0.8434782608695652
3,100,0.8986175115207374,0.8904109589041096,0.9069767441860465
4,100,0.8984198645598195,0.8766519823788547,0.9212962962962963
5,100,0.9098532494758911,0.9004149377593361,0.9194915254237288
6,100,0.8988326848249026,0.8918918918918919,0.9058823529411765
7,100,0.906054279749478,0.9079497907949791,0.9041666666666667
8,100,0.9216417910447762,0.9216417910447762,0.9216417910447762
9,100,0.9094736842105264,0.9037656903765691,0.9152542372881356
10,100,0.9166666666666667,0.9047619047619048,0.9288888888888889
11,100,0.9277899343544858,0.925764192139738,0.9298245614035088
12,100,0.901010101010101,0.8955823293172691,0.9065040650406504
13,100,0.9193548387096774,0.9156626506024096,0.9230769230769231
14,100,0.8608247422680412,0.8477157360406091,0.8743455497382199
15,100,0.9152542372881356,0.9086538461538461,0.9219512195121952
16,100,0.9184890656063618,0.9094488188976378,0.927710843373494
17,100,0.9059829059829059,0.902127659574468,0.9098712446351931
18,100,0.8830645161290324,0.8690476190476191,0.8975409836065574
19,100,0.9144144144144143,0.90625,0.9227272727272727
20,100,0.9262295081967213,0.9262295081967213,0.9262295081967213
21,100,0.8961303462321792,0.8943089430894309,0.8979591836734694
22,100,0.9110169491525424,0.9071729957805907,0.9148936170212766
23,100,0.9326424870466321,0.9326424870466321,0.9326424870466321
24,100,0.9019607843137255,0.9,0.9039301310043668
25,100,0.8822269807280513,0.8841201716738197,0.8803418803418803
26,100,0.8607068607068608,0.8518518518518519,0.8697478991596639
27,100,0.9050772626931567,0.8951965065502183,0.9151785714285714
28,100,0.9257142857142857,0.9239543726235742,0.9274809160305344
29,100,0.9094827586206896,0.8940677966101694,0.9254385964912281
30,100,0.9047619047619048,0.9011857707509882,0.9083665338645418
31,100,0.8993288590604027,0.8893805309734514,0.9095022624434389
32,100,0.8883928571428572,0.8805309734513275,0.8963963963963963
33,100,0.88,0.8820754716981132,0.8779342723004695
34,100,0.8894117647058823,0.8915094339622641,0.8873239436619719
35,100,0.8791208791208791,0.8771929824561403,0.8810572687224669
36,100,0.9107981220657277,0.9065420560747663,0.9150943396226415
