,f1_ents,p_ents,r_ents
0,0.946524064171123,0.9315789473684211,0.9619565217391305
1,0.9312638580931263,0.9375,0.9251101321585903
2,0.9250645994832041,0.9179487179487179,0.9322916666666666
3,0.9045643153526971,0.9045643153526971,0.9045643153526971
4,0.9339019189765457,0.9279661016949152,0.9399141630901288
5,0.9119638826185102,0.9099099099099099,0.9140271493212669
6,0.9484126984126984,0.9409448818897638,0.956
7,0.9324618736383442,0.9304347826086956,0.9344978165938864
8,0.9366053169734151,0.9385245901639344,0.9346938775510204
9,0.9440715883668904,0.9419642857142857,0.9461883408071748
10,0.9488372093023256,0.9315068493150684,0.966824644549763
11,0.924731182795699,0.9148936170212766,0.9347826086956522
12,0.9220489977728286,0.92,0.9241071428571429
13,0.9559471365638765,0.9475982532751092,0.9644444444444444
14,0.9598214285714286,0.9641255605381166,0.9555555555555556
15,0.9632495164410059,0.9576923076923077,0.9688715953307393
16,0.9224318658280922,0.9128630705394191,0.9322033898305084
17,0.9301204819277109,0.9368932038834952,0.9234449760765551
18,0.9371980676328503,0.9371980676328503,0.9371980676328503
19,0.922509225092251,0.9191176470588235,0.9259259259259259
20,0.9542168674698795,0.9565217391304348,0.9519230769230769
21,0.9197396963123645,0.9177489177489178,0.9217391304347826
22,0.9546436285097192,0.9525862068965517,0.9567099567099567
23,0.9313304721030042,0.9353448275862069,0.9273504273504274
24,0.8829568788501028,0.8739837398373984,0.8921161825726142
25,0.8909952606635071,0.9038461538461539,0.8785046728971962
26,0.9370932754880694,0.9310344827586207,0.9432314410480349
27,0.9068541300527241,0.8989547038327527,0.9148936170212766
28,0.9205020920502092,0.9128630705394191,0.9282700421940928
29,0.911764705882353,0.9029126213592233,0.9207920792079208
30,0.9129511677282378,0.899581589958159,0.9267241379310345
31,0.9565217391304347,0.9482758620689655,0.9649122807017544
32,0.9311926605504587,0.9398148148148148,0.9227272727272727
33,0.9299363057324841,0.9319148936170213,0.9279661016949152
34,0.9142857142857143,0.9142857142857143,0.9142857142857143
35,0.927643784786642,0.922509225092251,0.9328358208955224
36,0.9406952965235175,0.9311740890688259,0.9504132231404959
37,0.9346938775510204,0.9271255060728745,0.9423868312757202
38,0.948,0.9404761904761905,0.9556451612903226
39,0.9333333333333333,0.9180327868852459,0.9491525423728814
40,0.9220489977728284,0.9118942731277533,0.9324324324324325
41,0.9311740890688259,0.9274193548387096,0.9349593495934959
